City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,belmonte,-15.8631,-38.8828,298.48,65,100,4.77,BR,1689871176
84,laguna,38.421,-121.4238,305.42,63,0,0.0,US,1689871176
85,tyukhtet,56.5389,89.3011,292.91,49,72,4.06,RU,1689871177
86,mount pearl,47.5166,-52.7813,301.34,75,75,9.77,CA,1689870919
87,lokhvytsya,50.3678,33.2602,295.23,53,94,3.37,UA,1689871177
88,zdvinsk,54.7021,78.661,289.6,94,95,2.75,RU,1689871177
89,puerto natales,-51.7236,-72.4875,275.21,99,100,1.86,CL,1689871177
90,pisco,-13.7,-76.2167,293.18,77,100,3.09,PE,1689871000
91,saldanha,-33.0117,17.9442,287.18,64,0,5.58,ZA,1689871178
92,cockburn town,21.4612,-71.1419,301.37,80,84,8.17,TC,1689871093
93,hawaiian paradise park,19.5933,-154.9731,296.5,98,100,2.57,US,1689871178
94,ionia,42.9873,-85.0711,301.26,62,75,8.23,US,1689871178
95,newman,37.3138,-121.0208,299.34,19,0,2.45,US,1689871179
96,zouerate,22.7187,-12.4521,315.51,11,9,8.16,MR,1689871104
97,linxi,39.7,118.4333,296.63,68,59,2.04,CN,1689871179
98,vecpiebalga,57.0599,25.8127,289.3,53,83,2.34,LV,1689871179
99,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,100,100,2.0,RU,1689871008
100,puerto ayora,-0.7393,-90.3518,302.13,89,65,3.58,EC,1689871180
101,kourou,5.1552,-52.6478,304.18,71,17,3.78,GF,1689871115
102,suzun,53.7841,82.3116,289.19,97,75,2.26,RU,1689871180
103,nouadhibou,20.931,-17.0347,294.34,88,73,11.06,MR,1689871180
104,college,64.8569,-147.8028,290.14,95,100,1.54,US,1689870993
105,pudozh,61.8099,36.5345,287.04,97,100,5.01,RU,1689871181
106,adi keyh,14.8444,39.3772,291.71,62,93,2.94,ER,1689871181
107,pernem,15.7167,73.8,298.03,88,100,5.78,IN,1689871181
108,bomdila,27.25,92.4,288.85,94,98,1.83,IN,1689871181
109,badger,64.8,-147.5333,290.1,95,100,1.54,US,1689871181
110,changsha,28.2,112.9667,303.24,81,87,2.13,CN,1689871182
111,fort bragg,35.139,-79.006,306.38,57,0,4.02,US,1689871137
112,hotan,37.0997,79.9269,305.55,13,83,5.42,CN,1689871182
113,kolosovka,56.4678,73.611,291.27,87,58,2.8,RU,1689871182
114,talnakh,69.4865,88.3972,290.49,92,84,3.41,RU,1689871182
115,ribeira grande,38.5167,-28.7,296.37,83,20,1.54,PT,1689871182
116,valguarnera caropepe,37.4955,14.3888,312.31,10,3,4.18,IT,1689871182
117,uyar,55.81,94.3153,288.82,66,38,4.46,RU,1689871183
118,gunjur,13.2019,-16.7339,303.19,74,75,0.0,GM,1689871183
119,mokhsogollokh,61.4681,128.9203,284.63,98,100,2.11,RU,1689871183
120,enewetak,11.3474,162.3373,301.7,78,45,6.9,MH,1689871022
121,grand falls-windsor,48.9332,-55.6649,295.55,83,100,3.46,CA,1689871042
122,crucecita,-28.95,-58.9833,294.08,48,93,4.04,AR,1689871183
123,haiku-pauwela,20.9219,-156.3051,297.06,90,40,5.66,US,1689871184
124,camalu,30.85,-116.0667,297.33,67,79,3.25,MX,1689871184
125,ofunato,39.0717,141.7167,292.67,93,82,0.9,JP,1689871184
126,tarfaya,27.9358,-12.9218,295.35,84,85,10.11,MA,1689871184
127,puerto lempira,15.2667,-83.7667,303.23,70,75,2.57,HN,1689871184
128,namanga,-2.5433,36.7905,294.8,43,46,2.34,KE,1689871184
129,la serena,-29.9078,-71.2542,288.88,82,75,6.69,CL,1689871184
130,klyuchi,52.2667,79.1667,294.61,56,76,3.59,RU,1689871185
131,bahir dar,11.5936,37.3908,291.54,87,100,1.21,ET,1689871185
132,st. john's,47.5649,-52.7093,301.81,74,75,9.77,CA,1689871006
133,languyan,5.2618,120.0807,299.57,83,24,1.68,PH,1689871185
134,shakawe,-18.3667,21.85,292.99,24,13,1.37,BW,1689871185
135,sotuta,20.6,-89.0167,309.61,38,34,2.4,MX,1689871186
136,kasongo-lunda,-6.4667,16.8167,301.77,27,50,1.17,CD,1689871186
137,vallenar,-28.5708,-70.7581,300.31,10,100,1.67,CL,1689871186
138,usogorsk,63.4106,48.6872,290.4,97,95,3.72,RU,1689871186
139,udachny,66.4167,112.4,286.18,93,100,1.41,RU,1689871121
140,cabo san lucas,22.8909,-109.9124,309.05,43,20,3.6,MX,1689870952
141,nuku'alofa,-21.1333,-175.2,293.34,94,100,4.12,TO,1689871187
142,colonel hill,22.7667,-74.2167,301.72,78,100,8.61,BS,1689871187
143,sebastopol,44.6,33.5333,298.71,52,11,3.13,UA,1689870998
144,bayganin,48.6947,55.8742,297.11,49,60,3.5,KZ,1689871187
145,eirunepe,-6.6603,-69.8736,307.0,37,51,2.1,BR,1689871187
146,zyrya,40.3661,50.2917,300.2,57,0,0.53,AZ,1689871188
147,carutapera,-1.195,-46.02,302.53,64,22,3.87,BR,1689871188
148,salinas,36.6777,-121.6555,285.6,100,100,1.54,US,1689871188
149,pilar do sul,-23.8131,-47.7164,292.81,69,72,3.34,BR,1689871180
150,orange,33.7,-117.7675,308.51,62,20,3.6,US,1689871189
151,qamdo,31.1667,97.2333,278.56,72,81,1.47,CN,1689871189
152,revda,56.801,59.9303,287.63,88,30,3.34,RU,1689871190
153,manokwari,-0.8667,134.0833,298.89,83,24,1.98,ID,1689871190
154,mount gambier,-37.8333,140.7667,279.58,82,39,2.18,AU,1689871190
155,sandnessjoen,66.0217,12.6316,289.44,77,75,2.06,NO,1689871191
156,akureyri,65.6835,-18.0878,284.11,76,20,6.69,IS,1689871133
157,cedeira,43.6797,-8.0209,294.81,74,32,3.08,ES,1689871191
158,georgetown,5.4112,100.3354,301.12,85,20,1.54,MY,1689871008
159,lamu,-2.2717,40.902,298.27,84,58,7.32,KE,1689871196
160,mili,6.0815,171.735,301.36,81,100,8.74,MH,1689871196
161,happy valley-goose bay,53.3168,-60.3315,296.32,49,75,5.66,CA,1689871197
162,merizo village,13.2658,144.6691,300.46,89,100,3.03,GU,1689871197
163,aasiaat,68.7098,-52.8699,276.69,98,100,4.86,GL,1689871197
164,tolanaro,-25.0319,46.9987,294.19,94,20,2.06,MG,1689871109
165,constantia,44.1833,28.65,303.53,66,40,6.51,RO,1689871133
166,katsuren-haebaru,26.3369,127.8719,301.36,78,0,0.0,JP,1689871197
167,faya-largeau,17.9257,19.1043,311.37,27,4,5.24,TD,1689871198
168,papao,-17.75,-149.55,296.85,67,33,8.72,PF,1689871139
169,cill airne,52.05,-9.5167,287.18,82,100,3.6,IE,1689871198
170,lospalos,-8.5186,127.0025,293.14,92,8,2.13,TL,1689871198
171,morant bay,17.8815,-76.4093,303.94,78,79,7.39,JM,1689871198
172,carupano,10.6678,-63.2585,303.03,66,62,4.65,VE,1689871198
173,lihue,21.9789,-159.3672,298.92,85,100,7.72,US,1689871198
174,san jose del guaviare,2.5729,-72.6459,303.9,55,37,1.34,CO,1689871199
175,okha,53.5739,142.9478,284.14,94,100,5.38,RU,1689871199
176,afaahiti,-17.75,-149.2833,295.96,67,52,8.91,PF,1689871199
177,lebu,-37.6167,-73.65,285.78,95,100,10.51,CL,1689871113
178,pinkafeld,47.3667,16.1167,299.25,78,80,1.42,AT,1689871199
179,sao joao da barra,-21.6403,-41.0511,293.2,69,100,6.63,BR,1689871200
