City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,labrador city,52.9463,-66.9114,25.95,34,40,4.12,CA,1690226256
83,alofi,-19.0595,-169.9187,21.94,73,40,2.57,NU,1690226348
84,rio grande,-32.035,-52.0986,14.06,93,100,7.81,BR,1690226310
85,bambari,5.768,20.6757,25.13,79,95,0.83,CF,1690226348
86,port lincoln,-34.7333,135.8667,13.17,71,88,4.21,AU,1690226349
87,aitape,-3.1374,142.3475,25.34,89,99,1.44,PG,1690226349
88,manaure,11.7751,-72.4445,33.55,47,21,9.45,CO,1690226349
89,wailua homesteads,22.0669,-159.378,27.44,80,100,7.2,US,1690226349
90,rawai,7.7797,98.3253,30.55,71,45,7.05,TH,1690226350
91,al kharijah,25.4514,30.5464,34.35,14,5,4.22,EG,1690226177
92,qaqortoq,60.7167,-46.0333,7.14,87,81,3.34,GL,1690226350
93,sitka,57.0531,-135.33,15.94,77,20,0.0,US,1690226350
94,klyuchi,52.2667,79.1667,20.49,57,7,3.95,RU,1690226350
95,hilo,19.7297,-155.09,26.85,78,100,2.57,US,1690226351
96,al mawsil al jadidah,36.3346,43.0978,37.56,10,0,5.58,IQ,1690226351
97,cambria,35.5641,-121.0808,31.98,52,100,3.25,US,1690226351
98,saint-francois,46.4154,3.9054,22.69,53,0,3.6,FR,1690226228
99,puerto ayora,-0.7393,-90.3518,28.98,78,84,5.29,EC,1690226351
100,broken hill,-31.95,141.4333,5.91,91,0,4.32,AU,1690226352
101,manokwari,-0.8667,134.0833,25.63,80,94,2.19,ID,1690226352
102,port elizabeth,-33.918,25.5701,9.16,81,0,4.12,ZA,1690226352
103,constantia,44.1833,28.65,24.38,71,0,8.89,RO,1690226352
104,stanley,54.868,-1.6985,13.21,78,75,1.03,GB,1690226288
105,abepura,-2.6333,140.5833,24.45,88,20,0.0,ID,1690226353
106,punta arenas,-53.15,-70.9167,-0.71,74,100,2.7,CL,1690226053
107,san antonio de pale,-1.4014,5.6325,22.71,85,100,4.79,GQ,1690226353
108,tanguieta,10.6212,1.2665,24.8,89,99,2.34,BJ,1690226353
109,namibe,-15.1961,12.1522,18.38,82,100,3.49,AO,1690226353
110,marsh harbour,26.5412,-77.0636,30.24,66,1,2.96,BS,1690226354
111,bilibino,68.0546,166.4372,9.84,92,100,0.51,RU,1690226318
112,pont rouge,48.8833,-72.0825,29.16,56,95,2.1,CA,1690226354
113,fort-shevchenko,44.5086,50.263,26.59,72,100,8.06,KZ,1690226354
114,morinville,53.8001,-113.652,27.49,67,75,3.6,CA,1690226354
115,college,64.8569,-147.8028,26.15,60,40,0.89,US,1690226235
116,anadyr,64.75,177.4833,11.28,87,75,7.0,RU,1690226354
117,ust-nera,64.5667,143.2,15.89,63,92,3.15,RU,1690226354
118,savanna-la-mar,18.219,-78.1332,31.97,61,49,1.99,JM,1690226355
119,atafu village,-8.5421,-172.5159,28.98,70,17,7.77,TK,1690226355
120,rotonda west,26.8837,-82.2901,35.55,77,75,4.02,US,1690226355
121,codrington,-38.2667,141.9667,11.69,68,100,1.72,AU,1690226355
122,porbandar,21.6422,69.6093,27.51,88,54,8.05,IN,1690226121
123,mejit,10.2753,170.8646,28.31,77,93,7.97,MH,1690226355
124,ribeira grande,38.5167,-28.7,24.22,83,75,3.13,PT,1690226355
125,lagoa,39.05,-27.9833,22.15,83,1,5.65,PT,1690226356
126,kijang,35.2442,129.2139,23.85,93,100,2.54,KR,1690226356
127,pangody,65.85,74.4859,18.19,82,15,3.18,RU,1690226356
128,nabire,-3.3667,135.4833,24.25,90,100,2.22,ID,1690226356
129,axim,4.8699,-2.2405,24.73,89,100,2.27,GH,1690226356
130,laascaanood,8.4774,47.3597,28.59,39,75,10.57,SO,1690226357
131,madras,13.0878,80.2785,25.99,94,75,3.09,IN,1690226253
132,ben lomond,37.0891,-122.0863,29.19,59,7,0.45,US,1690226357
133,balezino,57.9796,53.0106,12.16,96,30,2.23,RU,1690226357
